order_id,order_date,status,item_id,sku,qty_ordered,price,value,discount_amount,total,category,payment_method,bi_st,cust_id,year,month,ref_num,customer_since,place_name,county,city,state,zip,region,discount_percent
100354678,2020-10-01,received,574772.0,oasis_Oasis-064-36,21.0,89.9,1798.0,0.0,1798.0,Men's Fashion,cod,Valid,60124.0,2020,Oct-2020,987867,8/22/2006,Vinson,Harmon,Vinson,OK,73571,South,0.0
100354678,2020-10-01,received,574774.0,Fantastic_FT-48,11.0,19.0,190.0,0.0,190.0,Men's Fashion,cod,Valid,60124.0,2020,Oct-2020,987867,8/22/2006,Vinson,Harmon,Vinson,OK,73571,South,0.0
100354680,2020-10-01,complete,574777.0,mdeal_DMC-610-8,9.0,149.9,1199.2,0.0,1199.2,Men's Fashion,cod,Net,60124.0,2020,Oct-2020,987867,8/22/2006,Vinson,Harmon,Vinson,OK,73571,South,0.0
100354680,2020-10-01,complete,574779.0,oasis_Oasis-061-36,9.0,79.9,639.2,0.0,639.2,Men's Fashion,cod,Net,60124.0,2020,Oct-2020,987867,8/22/2006,Vinson,Harmon,Vinson,OK,73571,South,0.0
100367357,2020-11-13,received,595185.0,MEFNAR59C38B6CA08CD,2.0,99.9,99.9,0.0,99.9,Men's Fashion,cod,Valid,60124.0,2020,Nov-2020,987867,8/22/2006,Vinson,Harmon,Vinson,OK,73571,South,0.0
100367357,2020-11-13,received,595186.0,MEFBUY59B7C3DDC2CA3-42,2.0,39.9,39.9,0.0,39.9,Men's Fashion,cod,Valid,60124.0,2020,Nov-2020,987867,8/22/2006,Vinson,Harmon,Vinson,OK,73571,South,0.0
100367360,2020-11-13,order_refunded,595192.0,MATDAN59C3C845B38F0,2.0,47.6,47.6,0.0,47.6,Mobiles & Tablets,cod,Valid,60124.0,2020,Nov-2020,987867,8/22/2006,Vinson,Harmon,Vinson,OK,73571,South,0.0
100354677,2020-10-01,canceled,574769.0,GFE_19_USBLEDLight,2.0,49.0,49.0,0.0,49.0,Mobiles & Tablets,Payaxis,Gross,42485.0,2020,Oct-2020,171143,2/4/1981,Graham,Bradford,Graham,FL,32042,South,0.0
100354677,2020-10-01,canceled,574770.0,oasis_Kingston-32GB-DTIG4,2.0,135.0,135.0,0.0,135.0,Computing,Payaxis,Gross,42485.0,2020,Oct-2020,171143,2/4/1981,Graham,Bradford,Graham,FL,32042,South,0.0
100354677,2020-10-01,canceled,574771.0,Geepas_GSB5420,2.0,549.9,549.9,0.0,549.9,Appliances,Payaxis,Gross,42485.0,2020,Oct-2020,171143,2/4/1981,Graham,Bradford,Graham,FL,32042,South,0.0
100356116,2020-10-08,order_refunded,577467.0,Geepas_GSB5420,1.0,549.9,0.0,0.0,0.0,Appliances,Payaxis,Valid,42485.0,2020,Oct-2020,171143,2/4/1981,Graham,Bradford,Graham,FL,32042,South,5.455537370430990
100358724,2020-10-21,order_refunded,581862.0,APPGEE59ADBEEE2EB9D,1.0,549.9,0.0,0.0,0.0,Appliances,cod,Valid,42485.0,2020,Oct-2020,171143,2/4/1981,Graham,Bradford,Graham,FL,32042,South,3.637024913620660
100403034,2020-12-24,canceled,656937.0,APPWES59CA4D59CB41A,2.0,254.8,254.8,39.80628,214.99372,Appliances,Easypay,Gross,42485.0,2020,Dec-2020,171143,2/4/1981,Graham,Bradford,Graham,FL,32042,South,15.622558869701700
100403034,2020-12-24,canceled,656938.0,APPPHI5A09939191938,2.0,315.5,315.5,49.28917000000000,266.21083,Appliances,Easypay,Gross,42485.0,2020,Dec-2020,171143,2/4/1981,Graham,Bradford,Graham,FL,32042,South,15.622557844691000
100403034,2020-12-24,canceled,656939.0,HALSHO59F836EF959B9,2.0,69.8,69.8,10.90455,58.89545,Home & Living,Easypay,Gross,42485.0,2020,Dec-2020,171143,2/4/1981,Graham,Bradford,Graham,FL,32042,South,15.62256446991400
100403077,2020-12-24,canceled,657023.0,APPWES59CA4D59CB41A,2.0,254.8,254.8,39.80628,214.99372,Appliances,Easypay,Gross,42485.0,2020,Dec-2020,171143,2/4/1981,Graham,Bradford,Graham,FL,32042,South,15.622558869701700
100403077,2020-12-24,canceled,657024.0,APPPHI5A09939191938,2.0,315.5,315.5,49.28917000000000,266.21083,Appliances,Easypay,Gross,42485.0,2020,Dec-2020,171143,2/4/1981,Graham,Bradford,Graham,FL,32042,South,15.622557844691000
100403077,2020-12-24,canceled,657025.0,HALSHO59F836EF959B9,2.0,69.8,69.8,10.90455,58.89545,Home & Living,Easypay,Gross,42485.0,2020,Dec-2020,171143,2/4/1981,Graham,Bradford,Graham,FL,32042,South,15.62256446991400
